"383","Helen McCrory","Female","Narcissa Malfoy"
"384","Timothy Spall","Male","Wormtail"
"385","Alan Rickman","Male","Professor Severus Snape"
"386","Oliver Phelps","Male","George Weasley"
"387","Ben Affleck","Male","Bruce Wayne / Batman"
"388","Henry Cavill","Male","Clark Kent / Superman"
"389","Amy Adams","Female","Lois"
"390","Jesse Eisenberg	","Male","Lex Luthor"
"391","Diane Lane","Female","Martha Kent"
"392","Laurence Fishburne","Male","Perry White"
"393","Jeremy Irons","Male","Alfred"
"394","Holly Hunter","Female","Senator Finch"
"395","Gal Gadot","Female","Diana Prince / Wonder Woman"
"396","Scoot McNairy","Male","Wallace Keefe"
"397","Callan Mulvey","Male","Anatoli Knyazev"
"398","Tao Okamoto","Male","Mercy Graves"
"399","Brandon Spink","Female","Young Bruce Wayne"
"400","Lauren Cohan","Male","Martha Wayne"
"401","Alan D. Purwin","Female","ayne Industries Pilot"
"402","Ian McKellen","Male","Gandalf"
"403","Martin Freeman","Male","Bilbo"
"404","Richard Armitage","Male","Thorin"
"405","Ken Stott","Male","Balin"
"406","Graham McTavish","Male","Dwalin"
"407","William Kircher","Male","Bifur"
"408","James Nesbitt","Male","Bofur"
"409","Stephen Hunter","Male","Bombur"
"410","Dean O'Gorman","Male","Fili"
"411","Aidan Turner","Male","Kili"
"412","John Callen","Male","Oin"
"413","Peter Hambleton","Male","Gloin"
"414","Jed Brophy","Male","Nori"
"415","Mark Hadlow","Male","Dori"
"416","Adam Brown","Male","Ori"
"417","Chris Evans","Male","Steve Rogers / Captain Americ"
"418","Robert Downey Jr.","Male","Tony Stark / Iron Man"
"419","Scarlett Johansson","Female","Natasha Romanoff / Black Widow"
"420","Sebastian Stan","Male","Bucky Barnes / Winter Soldier"
"421","Anthony Mackie","Male","Sam Wilson / Falcon"
"422","Don Cheadle","Male","Lieutenant James Rhodes / War Machine"
"423","Jeremy Renner","Male","Clint Barton / Hawkeye"
"424","Chadwick Boseman","Male","T'Challa / Black Panther"
"425","Paul Bettany","Male","Vision"
"426","Elizabeth Olsen","Female","Wanda Maximoff / Scarlet Witch"
"427","Paul Rudd","Male","Scott Lang / Ant-Man"
"428","Emily VanCamp","Female","Sharon Carter (as Emily Vancamp)"
"429","Tom Holland","Male","Peter Parker / Spider-Man"
"430","Daniel Brühl","Male","Zemo"
"431","Frank Grillo","Male","Brock Rumlow / Crossbones"
"432","Hugh Jackman","Male","Logan / Wolverine"
"433","James McAvoy","Male","Charles Xavier"
"434","Michael Fassbender","Male","Erik Lehnsherr"
"435","Jennifer Lawrence","Female","Raven / Mystique"
"436","Halle Berry","Female","Storm"
"437","Nicholas Hoult","Male","Hank / Beast"
"438","Anna Paquin","Female","Rogue"
"439","Ellen Page","Female","Kitty Pryde"
"440","Peter Dinklage","Male","Dr. Bolivar Trask"
"441","Shawn Ashmore","Male","Bobby / Iceman"
"442","Omar Sy","Male","Bishop"
"443","Evan Peters","Male","Peter / Quicksilver"
"444","Josh Helman","Male","Maj. Bill Stryker"
"445","Daniel Cudmore","Male","Colossus"
"446","Bingbing Fan","Female","Blink"
"447","Daniel Craig","Male","James Bond"
"448","Christoph Waltz","Male","Blofeld"
"449","Lea Seydoux","Female","Madeleine"
"450","Ralph Fiennes","Male","M"
"451","Monica Bellucci","Female","Lucia"
"452","Ben Whishaw","Male","Q"
"453","Naomie Harris","Female","Moneypenny"
"454","Dave Bautista","Male","Hinx"
"455","Andrew Scott","Male","C"
"456","Rory Kinnear","Male","Tanner"
"457","Jesper Christensen","Male","Mr. White"
"458","Alessandro Cremona","Male","Marco Sciarra"
"459","Stephanie Sigman","Female","Estrella"
"460","Adriana Paz","Female","Mexican Woman in Lift"
"461","Tenoch Huerta","Male","Mexican Man in Lift"
"462","Henry Cavill","Male","Clark Kent / Kal-El"
"463","Amy Adams","Female","Lois Lane"
"464","Michael Shannon","Male","General Zod"
"465","Diane Lane","Female","Martha Kent"
"466","Russell Crowe","Male","Jor-El"
"467","Antje Traue","Female","Faora-Ul"
"468","Harry Lennix","Male","General Swanwick"
"469","Richard Schiff","Male","Dr. Emil Hamilton"
"470","Christopher Meloni","Male","Colonel Nathan Hardy"
"471","Kevin Costner","Male","Jonathan Kent"
"472","Ayelet Zurer","Female","Lara Lor-Van"
"473","Laurence Fishburne","Male","Perry White"
"474","Dylan Sprayberry","Male","Clark Kent (13 Years)"
"475","Cooper Timberline","Male","Clark Kent (9 Years)"
"476","Richard Cetrone","Male","Tor-An"
"477","Naomi Watts","Female","Ann Darrow"
"478","Jack Black","Male","Carl Denham"
"479","Adrien Brody","Male","Jack Driscoll"
"480","Thomas Kretschmann","Male","Captain Englehorn"
"481","Colin Hanks","Male","Preston"
"482","Andy Serkis","Male","Kong / Lumpy"
"483","Evan Parke","Male","Hayes"
"484","Geraldine Brophy","Female","Maude"
"485","Jamie Bell","Male","Jimmy"
"486","Lobo Chan","Male","Choy"
"487","John Sumner","Male","Herb"
"488","Craig Hall","Male","Mike"
"489","Kyle Chandler","Male","Bruce Baxter"
